animeID,name,title_english,title_japanese,title_synonyms,type,source,producers,genre,studio,episodes,status,airing,start_date,end_date,duration,rating,score,scored_by,rank,popularity,members,favorites,synopsis,background,premiered,broadcast,related
17689,Chironup no Kitsune,NA,<U+30C1><U+30ED><U+30CC><U+30C3><U+30D7><U+306E><U+304D><U+3064><U+306D>,['Chironuppu no Kitsune'],Movie,Novel,Group TAC,Drama,,1,Finished Airing,0,8/15/1987,8/15/1987,1 hr 12 min,G - All Ages,6.67,100,5005,10264,481,2,"Foxes Ken and Chin become the proud parents of cubs, Koro and Kan, who enjoy a carefree life on the northern Japanese island of Chironup. They befriend a fisherman and his wife but are forced to run for their lives when soldiers on a military exercise decide to take home some fox pelts as souvenirs. A sweet little film that obliquely symbolizes the plight of Japan's aboriginal Ainu people and the northern islands that have been contested with Russia since they were occupied by Stalin's soldiers in 1945. (Source: The Anime Encyclopedia)",NA,NA,NA,{}
24905,Go-hiki no Kobuta to Charleston,NA,<U+4E94><U+5339><U+306E><U+3053><U+3076><U+305F><U+3068><U+30C1><U+30E3><U+30FC><U+30EB><U+30B9><U+30C8><U+30F3>,['Minna no Uta: Go-hiki no Kobuta to Charleston'],Music,Music,NHK,Kids,,1,Finished Airing,0,8/3/1964,8/3/1964,2 min,G - All Ages,4.64,77,10054,12438,183,0,A song for the Minna no Uta segment.,NA,NA,NA,{}
18149,Ishida to Asakura Special,NA,<U+77F3><U+7530><U+3068><U+3042><U+3055><U+304F><U+3089>,[],Special,Manga,DAX Production,Comedy,,1,Finished Airing,0,3/31/2013,3/31/2013,1 min,PG-13 - Teens 13 or older,4.97,1622,9768,6700,2701,1,A bonus episode aired on Tokyo MX a week after episode 12. Asakura asks why they're still there when the anime was supposed to end last week.,NA,NA,NA,"{'Prequel': [{'mal_id': 16317, 'type': 'anime', 'name': 'Ishida to Asakura', 'url': 'https://myanimelist.net/anime/16317/Ishida_to_Asakura'}]}"
16051,Ro-Kyu-Bu! SS,NA,<U+30ED><U+30A6><U+304D><U+3085><U+30FC><U+3076>! SS,['Second Season - Shogakusei wa Saiko daze!'],TV,Light novel,ASCII Media Works,Comedy,Barnum Studio,12,Finished Airing,0,7/5/2013,7/5/2013,24 min per ep,PG-13 - Teens 13 or older,7.22,13237,2793,2413,27687,50,Second season of Ro-Kyu-Bu!,NA,Summer 2013,Unknown,"{'Adaptation': [{'mal_id': 24600, 'type': 'manga', 'name': 'Ro-Kyu-Bu!', 'url': 'https://myanimelist.net/manga/24600/Ro-Kyu-Bu'}], 'Prequel': [{'mal_id': 15807, 'type': 'anime', 'name': 'Ro-Kyu-Bu!: Tomoka no Ichigo Sundae', 'url': 'https://myanimelist.net/anime/15807/Ro-Kyu-Bu__Tomoka_no_Ichigo_Sundae'}], 'Summary': [{'mal_id': 20155, 'type': 'anime', 'name': 'Ro-Kyu-Bu! SS Recap', 'url': 'https://myanimelist.net/anime/20155/Ro-Kyu-Bu_SS_Recap'}]}"
3138,Solty Rei Special,NA,<U+30BD><U+30EB><U+30C6><U+30A3><U+30EC><U+30A4>,"['SoltyRei Special', 'Solty Rei Episodee 9.5', 'Solty Rei OVA', 'Solty Rei: Opportunities Missed', 'Love Shared']",Special,Original,TV Asahi,Comedy,Gonzo,1,Finished Airing,0,7/26/2006,7/26/2006,43 min,PG-13 - Teens 13 or older,7.15,1461,3099,6326,3146,2,"This is a two part story that happened after Rose moved in to Roy's apartment. During the preparations for Appreciation Day, Solty watches people in the city going about and preparing for the celebration and is confronted with a thought: what is true happiness? While trying to understand happiness and the complexity of human emotions, a young girl who has had a falling out with her mother confronts Solty and Rose asking for their help. ""Love Shared"" is actually the second half of ""Opportunities Missed"", while ""Opportunities Missed"" shows the entire story. (Source: Wikipedia)",NA,NA,NA,"{'Parent story': [{'mal_id': 152, 'type': 'anime', 'name': 'Solty Rei', 'url': 'https://myanimelist.net/anime/152/Solty_Rei'}]}"
30567,Teekyuu 5,Teekyu 5,<U+3066><U+30FC><U+304D><U+3085><U+3046> 5<U+671F>,"['Teekyuu 5th Season', 'Tekyu 5', 'Te-kyu 5']",TV,Manga,Earth Star Entertainment,Comedy,Millepensee,12,Finished Airing,0,7/7/2015,7/7/2015,2 min per ep,PG-13 - Teens 13 or older,6.82,7117,4357,3552,13146,14,Fifth season of Teekyuu series.,NA,Summer 2015,Tuesdays at 01:05 (JST),"{'Adaptation': [{'mal_id': 44949, 'type': 'manga', 'name': 'Teekyuu', 'url': 'https://myanimelist.net/manga/44949/Teekyuu'}], 'Prequel': [{'mal_id': 26395, 'type': 'anime', 'name': 'Teekyuu 4', 'url': 'https://myanimelist.net/anime/26395/Teekyuu_4'}], 'Sequel': [{'mal_id': 31440, 'type': 'anime', 'name': 'Teekyuu 6', 'url': 'https://myanimelist.net/anime/31440/Teekyuu_6'}], 'Side story': [{'mal_id': 31668, 'type': 'anime', 'name': 'Teekyuu 5 Specials', 'url': 'https://myanimelist.net/anime/31668/Teekyuu_5_Specials'}]}"
1022,Generator Gawl,NA,<U+30B8><U+30A7><U+30CD><U+30EC><U+30A4><U+30BF><U+30FC><U+30AC><U+30A6><U+30EB>,[],TV,Original,,Drama,Tatsunoko Production,12,Finished Airing,0,10/7/1998,10/7/1998,24 min per ep,PG-13 - Teens 13 or older,7.05,2693,3468,4605,6954,27,"Ryo, Gawl and Koji are 3 young boys who travel back into the past with only 1 objective: change history. In their time they discover that their country, Kubere, uses genetically enhanced persons called generators as a military tool. These generators are the cause for the Third War which kills most of the human population. Now Koji, Ryo and Gawl are there to change all the events. (Source: ANN)",NA,Fall 1998,Tuesdays at 02:55 (JST),"{'Adaptation': [{'mal_id': 35599, 'type': 'manga', 'name': 'Generator Gawl', 'url': 'https://myanimelist.net/manga/35599/Generator_Gawl'}]}"
1132,Digimon Frontier,Digimon Frontier,<U+30C7><U+30B8><U+30E2><U+30F3><U+30D5><U+30ED><U+30F3><U+30C6><U+30A3><U+30A2>,['Digimon Season Four'],TV,Original,Yomiko Advertising,Drama,Toei Animation,50,Finished Airing,0,4/7/2002,4/7/2002,23 min per ep,PG - Children,7.24,62214,2694,954,101505,465,"With five new kids and an exciting new mission in the Digital World, Digimon Frontier brings back all the great action and adventure of the last three seasons. Takuya, Kouji, Izumi, Junpei. and Tomoki meet each other in a train that takes them to the Digital World where a war against evil is being fought. The Angel digimon, Cherubimon, one of The three angels sent to save the World from the power-hungry Lucemon, has turned to the dark side and the entire Digital World is in peril. To fight this great battle, the five CHOSEN ONES must find the Densetsu no Spirit (Legendary Spirit).",NA,Spring 2002,Sundays at 09:00 (JST),"{'Adaptation': [{'mal_id': 3502, 'type': 'manga', 'name': 'Digimon Frontier', 'url': 'https://myanimelist.net/manga/3502/Digimon_Frontier'}], 'Spin-off': [{'mal_id': 552, 'type': 'anime', 'name': 'Digimon Adventure', 'url': 'https://myanimelist.net/anime/552/Digimon_Adventure'}, {'mal_id': 859, 'type': 'anime', 'name': 'Digimon Savers', 'url': 'https://myanimelist.net/anime/859/Digimon_Savers'}, {'mal_id': 874, 'type': 'anime', 'name': 'Digimon Tamers', 'url': 'https://myanimelist.net/anime/874/Digimon_Tamers'}, {'mal_id': 1313, 'type': 'anime', 'name': 'Digimon Adventure 02', 'url': 'https://myanimelist.net/anime/1313/Digimon_Adventure_02'}, {'mal_id': 8624, 'type': 'anime', 'name': 'Digimon Xros Wars', 'url': 'https://myanimelist.net/anime/8624/Digimon_Xros_Wars'}], 'Side story': [{'mal_id': 3031, 'type': 'anime', 'name': 'Digimon Frontier: Ornismon Fukkatsu!!', 'url': 'https://myanimelist.net/anime/3031/Digimon_Frontier__Ornismon_Fukkatsu'}]}"
995,Tennis no Ouji-sama: Zenkoku Taikai-hen,Prince of Tennis: National Championship Chapter,<U+30C6><U+30CB><U+30B9><U+306E><U+738B><U+5B50><U+69D8> Original Video Animation <U+5168><U+56FD><U+5927><U+4F1A><U+7DE8>,"['PoT OVA', 'Tennis no Ouji-sama: Zenkoku Taikai hen', 'Prince of Tennis: The National Tournament']",OVA,Unknown,Shueisha,Action,M.S.C,13,Finished Airing,0,3/24/2006,3/24/2006,23 min per ep,PG-13 - Teens 13 or older,8.04,18338,518,2232,31840,91,"Seigaku continues their road to winning the National Championship, but only the best schools remain as they'll have to go toe-to-toe with old rivals and new foes in the National Tournament. (Source: ANN)",NA,NA,NA,"{'Adaptation': [{'mal_id': 49, 'type': 'manga', 'name': 'Tennis no Ouji-sama', 'url': 'https://myanimelist.net/manga/49/Tennis_no_Ouji-sama'}], 'Prequel': [{'mal_id': 22, 'type': 'anime', 'name': 'Tennis no Ouji-sama', 'url': 'https://myanimelist.net/anime/22/Tennis_no_Ouji-sama'}], 'Sequel': [{'mal_id': 2752, 'type': 'anime', 'name': 'Tennis no Ouji-sama: Zenkoku Taikai-hen - Semifinal', 'url': 'https://myanimelist.net/anime/2752/Tennis_no_Ouji-sama__Zenkoku_Taikai-hen_-_Semifinal'}]}"
7273,Nido to Mezamenu Komori Uta,The Death Lullaby,<U+4E8C><U+5EA6><U+3068><U+76EE><U+899A><U+3081><U+306C><U+5B50><U+5B88><U+5504>,"['Nidoto Mezamenu Komori Uta', 'Lullaby to the Big Sleep', 'Lullaby Not Awake Two Times']",Movie,Unknown,,Drama,,1,Finished Airing,0,1/1/1985,1/1/1985,27 min,R+ - Mild Nudity,5.13,382,9578,8803,1016,5,An animated film describing the bullying of a Japanese child.,NA,NA,NA,{}
