date,month,cases,deaths
1/4/2021,1,177669,1545
1/3/2021,1,207726,1461
1/2/2021,1,278680,2395
1/1/2021,1,179852,2596
12/31/2020,12,223036,3287
12/30/2020,12,225671,3903
12/29/2020,12,195194,3299
12/28/2020,12,162190,1491
12/27/2020,12,153194,1402
12/26/2020,12,189494,1419
12/25/2020,12,125368,1548
12/24/2020,12,203625,2949
12/23/2020,12,220834,3379
12/22/2020,12,189932,3166
12/21/2020,12,178191,1485
12/20/2020,12,196017,1633
12/19/2020,12,202812,2723
12/18/2020,12,239246,2866
12/17/2020,12,240156,3438
12/16/2020,12,231653,3448
12/15/2020,12,189783,2971
12/14/2020,12,192466,1358
12/13/2020,12,185801,1494
12/12/2020,12,224476,2494
12/11/2020,12,234817,2749
12/10/2020,12,218951,3115
12/9/2020,12,214183,3164
12/8/2020,12,215112,2703
12/7/2020,12,180938,1297
12/6/2020,12,181196,1145
12/5/2020,12,216678,2480
12/4/2020,12,229192,2573
12/3/2020,12,213639,2825
12/2/2020,12,201170,2804
12/1/2020,12,178212,2506
11/30/2020,11,148588,1035
11/29/2020,11,136247,823
11/28/2020,11,151184,1251
11/27/2020,11,197180,1392
11/26/2020,11,128709,1387
11/25/2020,11,187134,2280
11/24/2020,11,164392,2106
11/23/2020,11,153783,858
11/22/2020,11,153372,917
11/21/2020,11,182809,1554
11/20/2020,11,195893,1894
11/19/2020,11,186585,2020
11/18/2020,11,167032,1882
11/17/2020,11,158476,1562
11/16/2020,11,149100,609
11/15/2020,11,146207,708
11/14/2020,11,166589,1352
11/13/2020,11,173277,1304
11/12/2020,11,156559,1111
11/11/2020,11,148170,1579
11/10/2020,11,132512,1357
11/9/2020,11,117585,580
11/8/2020,11,111660,501
11/7/2020,11,131249,1132
11/6/2020,11,128294,1186
11/5/2020,11,118182,1155
11/4/2020,11,104602,1126
11/3/2020,11,89368,1525
11/2/2020,11,83068,474
11/1/2020,11,141566,398
10/31/2020,10,90842,970
10/30/2020,10,97551,947
10/29/2020,10,89087,1055
10/28/2020,10,79399,1045
10/27/2020,10,71858,929
10/26/2020,10,63124,399
10/25/2020,10,64164,387
10/24/2020,10,83348,897
10/23/2020,10,82476,941
10/22/2020,10,73197,1126
10/21/2020,10,61404,1025
10/20/2020,10,60407,830
10/19/2020,10,57517,451
10/18/2020,10,47637,402
10/17/2020,10,57416,777
10/16/2020,10,68360,894
10/15/2020,10,63418,928
10/14/2020,10,57104,798
10/13/2020,10,46930,724
10/12/2020,10,43028,285
10/11/2020,10,46494,469
10/10/2020,10,57508,690
10/9/2020,10,56803,905
10/8/2020,10,55382,988
10/7/2020,10,51107,922
10/6/2020,10,38767,622
10/5/2020,10,37704,330
10/4/2020,10,38001,373
10/3/2020,10,50823,743
10/2/2020,10,49277,844
10/1/2020,10,45753,859
9/30/2020,9,44720,1060
9/29/2020,9,36794,732
9/28/2020,9,35251,245
9/27/2020,9,34900,307
9/26/2020,9,47007,874
9/25/2020,9,55245,849
9/24/2020,9,43433,933
9/23/2020,9,39288,1159
9/22/2020,9,49026,859
9/21/2020,9,39111,283
9/20/2020,9,35442,324
9/19/2020,9,45384,751
9/18/2020,9,47317,901
9/17/2020,9,43387,878
9/16/2020,9,40272,1184
9/15/2020,9,34756,1040
9/14/2020,9,33504,405
9/13/2020,9,34442,390
9/12/2020,9,41875,821
9/11/2020,9,44676,1014
9/10/2020,9,37410,1156
9/9/2020,9,30616,1092
9/8/2020,9,22298,350
9/7/2020,9,28047,227
9/6/2020,9,32926,448
9/5/2020,9,44791,926
9/4/2020,9,51560,1002
9/3/2020,9,44732,1071
9/2/2020,9,30508,1032
9/1/2020,9,42266,1019
8/31/2020,8,31595,377
8/30/2020,8,38765,474
8/29/2020,8,43897,1015
8/28/2020,8,46177,1024
8/27/2020,8,44068,1128
8/26/2020,8,44234,1297
8/25/2020,8,36804,1145
8/24/2020,8,34501,344
8/23/2020,8,37814,574
8/22/2020,8,46047,1036
8/21/2020,8,46382,1117
8/20/2020,8,43904,1122
8/19/2020,8,44989,1413
8/18/2020,8,40057,1188
8/17/2020,8,37670,409
8/16/2020,8,42305,618
8/15/2020,8,56093,1226
8/14/2020,8,57102,1220
8/13/2020,8,51740,1164
8/12/2020,8,56117,1513
8/11/2020,8,54958,1330
8/10/2020,8,41304,430
8/9/2020,8,50632,615
8/8/2020,8,53449,1084
8/7/2020,8,60945,1331
8/6/2020,8,53969,1237
8/5/2020,8,52610,1355
8/4/2020,8,51214,1244
8/3/2020,8,42698,517
8/2/2020,8,53220,494
8/1/2020,8,60586,1198
7/31/2020,7,67741,1329
7/30/2020,7,69031,1245
7/29/2020,7,64067,1497
7/28/2020,7,58412,1125
7/27/2020,7,54515,1063
7/26/2020,7,60612,560
7/25/2020,7,64801,1009
7/24/2020,7,75088,1180
7/23/2020,7,71450,1074
7/22/2020,7,69330,1142
7/21/2020,7,62884,1046
7/20/2020,7,56480,375
7/19/2020,7,64289,527
7/18/2020,7,64759,874
7/17/2020,7,76340,942
7/16/2020,7,70593,940
7/15/2020,7,69232,859
7/14/2020,7,58646,745
7/13/2020,7,57075,330
7/12/2020,7,61488,474
7/11/2020,7,62664,753
7/10/2020,7,66955,835
7/9/2020,7,59179,865
7/8/2020,7,62761,818
7/7/2020,7,50996,910
7/6/2020,7,40766,235
7/5/2020,7,45327,207
7/4/2020,7,54801,300
7/3/2020,7,54129,602
7/2/2020,7,53559,699
7/1/2020,7,51112,696
6/30/2020,6,46994,580
6/29/2020,6,39279,338
6/28/2020,6,41694,273
6/27/2020,6,43060,503
6/26/2020,6,44435,621
6/25/2020,6,39641,647
6/24/2020,6,39058,707
6/23/2020,6,33460,722
6/22/2020,6,26775,289
6/21/2020,6,29180,293
6/20/2020,6,32179,615
6/19/2020,6,30902,649
6/18/2020,6,27046,685
6/17/2020,6,23965,779
6/16/2020,6,22910,718
6/15/2020,6,18330,387
6/14/2020,6,21587,356
6/13/2020,6,25452,693
6/12/2020,6,23079,766
6/11/2020,6,22080,898
6/10/2020,6,20869,888
6/9/2020,6,16853,891
6/8/2020,6,16883,674
6/7/2020,6,19101,446
6/6/2020,6,22723,714
6/5/2020,6,23055,837
6/4/2020,6,20470,881
6/3/2020,6,20182,974
6/2/2020,6,19840,973
6/1/2020,6,20101,680
5/31/2020,5,21636,653
5/30/2020,5,23591,925
5/29/2020,5,23594,1171
5/28/2020,5,22759,1238
5/27/2020,5,19209,1335
5/26/2020,5,16682,665
5/25/2020,5,18533,555
5/24/2020,5,19072,689
5/23/2020,5,22513,1038
5/22/2020,5,24128,1291
5/21/2020,5,26745,1377
5/20/2020,5,21310,1399
5/19/2020,5,20648,1318
5/18/2020,5,20643,855
5/17/2020,5,20370,873
5/16/2020,5,23739,1237
5/15/2020,5,25471,1535
5/14/2020,5,26693,1852
5/13/2020,5,21614,1734
5/12/2020,5,22369,1506
5/11/2020,5,18128,894
5/10/2020,5,21082,1032
5/9/2020,5,25318,1456
5/8/2020,5,27195,1781
5/7/2020,5,27221,2752
5/6/2020,5,25242,1916
5/5/2020,5,22337,2494
5/4/2020,5,22228,1028
5/3/2020,5,25774,1243
5/2/2020,5,29169,1531
5/1/2020,5,32813,1808
4/30/2020,4,30018,2153
4/29/2020,4,26268,2685
4/28/2020,4,25191,2077
4/27/2020,4,22392,1287
4/26/2020,4,27296,1222
4/25/2020,4,35760,1627
4/24/2020,4,34208,1972
4/23/2020,4,31964,1814
4/22/2020,4,29187,2082
4/21/2020,4,26039,2481
4/20/2020,4,25947,1815
4/19/2020,4,27530,1763
4/18/2020,4,27960,1891
4/17/2020,4,31960,2118
4/16/2020,4,31570,2197
4/15/2020,4,29902,2546
4/14/2020,4,25866,2353
4/13/2020,4,24182,1630
4/12/2020,4,28221,1700
4/11/2020,4,31313,2079
4/10/2020,4,33526,2072
4/9/2020,4,35140,2062
4/8/2020,4,30968,1997
4/7/2020,4,30461,2044
4/6/2020,4,28238,1313
4/5/2020,4,25879,1339
4/4/2020,4,33085,1481
4/3/2020,4,31873,1285
4/2/2020,4,28107,1178
4/1/2020,4,26233,1004
3/31/2020,3,24963,907
3/30/2020,3,21191,588
3/29/2020,3,19668,504
3/28/2020,3,19749,551
3/27/2020,3,19223,408
3/26/2020,3,17734,316
3/25/2020,3,12613,238
3/24/2020,3,10870,238
3/23/2020,3,11175,101
3/22/2020,3,9270,146
3/21/2020,3,6906,62
3/20/2020,3,6115,70
3/19/2020,3,4601,48
3/18/2020,3,3375,31
3/17/2020,3,2093,24
3/16/2020,3,1712,21
3/15/2020,3,1323,15
3/14/2020,3,993,8
3/13/2020,3,849,5
3/12/2020,3,676,8
3/11/2020,3,425,6
3/10/2020,3,392,2
3/9/2020,3,265,4
3/8/2020,3,173,4
3/7/2020,3,144,1
3/6/2020,3,130,6
3/5/2020,3,61,4
3/4/2020,3,129,2
3/3/2020,3,42,3
3/2/2020,3,30,3
3/1/2020,3,24,3
2/29/2020,2,3,1
2/28/2020,2,2,2
2/27/2020,2,1,0
2/26/2020,2,2,2
2/25/2020,2,1,0
2/24/2020,2,1,0
2/23/2020,2,1,0
2/22/2020,2,0,0
2/21/2020,2,0,0
2/20/2020,2,0,0
2/19/2020,2,0,0
2/18/2020,2,0,0
2/17/2020,2,0,0
2/16/2020,2,0,0
2/15/2020,2,0,0
2/14/2020,2,1,0
2/13/2020,2,1,0
2/12/2020,2,0,0
2/11/2020,2,0,0
2/10/2020,2,0,0
2/9/2020,2,0,0
2/8/2020,2,0,0
2/7/2020,2,0,0
2/6/2020,2,2,0
2/5/2020,2,0,0
2/4/2020,2,0,0
2/3/2020,2,1,0
2/2/2020,2,0,0
2/1/2020,2,0,0
1/31/2020,1,0,0
1/30/2020,1,0,0
1/29/2020,1,0,0
1/28/2020,1,0,0
1/27/2020,1,0,0
1/26/2020,1,0,0
1/25/2020,1,0,0
1/24/2020,1,0,0
1/23/2020,1,0,0
1/22/2020,1,0,0
1/21/2020,1,1,0
1/20/2020,1,0,0
1/19/2020,1,1,0
1/18/2020,1,0,0
1/17/2020,1,0,0
1/16/2020,1,0,0
1/15/2020,1,0,0
1/14/2020,1,0,0
1/13/2020,1,0,0
