Class.Standing,Race,Business,PreHealthy,Greek,Covid.Positive,Covid.Cases,PacificResponse,OnlineV.InPerson,Online.Modality,Cheated,Living.Arrangement,Vote,GPA,Drinks,BLM,Defunding.Police,OnlineV.InPerson.Numeric
Junior,Asian or Pacific Islander,Yes,No,No,No,0,Neutral,Neutral,Asynchronous,No,Internationally,Neither of the above,3.5,0,Full Support,No,2
Junior,Latin@ or Hispanic,No,No,No,No,0,Neutral,Highly prefer in person courses,Hybrid,No,Northern California outside Stockton,Neither of the above,1.9,2,Partial Support,No,0
Junior,Latin@ or Hispanic,Yes,No,No,No,2,Satisfied,Slightly prefer in person courses,Hybrid,No,Off Campus in Stockton,Biden,3.4,0,Full Support,Yes,1
Senior,White,No,No,Yes,No,5,Neutral,Highly prefer in person courses,Synchronous,No,On Campus,Neither of the above,3.1,0,Partial Support,No,0
Senior,Asian or Pacific Islander,No,No,Yes,No,3,Neutral,Highly prefer in person courses,Synchronous,No,Off Campus in Stockton,Trump,3,2,No Support,No,0
Senior,White and Japanese,No,No,Yes,No,3,Neutral,Slightly prefer online courses,Hybrid,No,Southern California,Biden,2.6,1,Full Support,Yes,3
Junior,Latin@ or Hispanic;Asian or Pacific Islander,No,Yes,No,No,3,Satisfied,Neutral,Hybrid,No,Off Campus in Stockton,Biden,3.16,0,Full Support,Maybe,2
Junior,Asian or Pacific Islander,No,Yes,Yes,No,3,Neutral,Slightly prefer in person courses,Hybrid,No,Northern California outside Stockton,Biden,3,0,Full Support,Maybe,1
Senior,Asian or Pacific Islander,No,No,No,No,0,Neutral,Neutral,Hybrid,No,Off Campus in Stockton,Biden,3.81,0,Partial Support,Yes,2
Junior,Asian or Pacific Islander,Yes,No,No,No,2,Neutral,Highly prefer in person courses,Hybrid,No,Internationally,Neither of the above,3.5,0,Partial Support,Maybe,0
Senior,Latin@ or Hispanic,No,No,No,Yes,6,Neutral,Highly prefer in person courses,Synchronous,No,Northern California outside Stockton,Biden,3.8,2,Full Support,Yes,0
Junior,Asian or Pacific Islander,No,Yes,No,No,0,Neutral,Highly prefer online courses,Asynchronous,No,Southern California,Biden,3,0,Full Support,Yes,4
Senior,White,No,No,No,No,7,Satisfied,Slightly prefer online courses,Asynchronous,No,Internationally,Biden,3.7,1,Full Support,Yes,3
Senior,Asian or Pacific Islander,No,Yes,Yes,No,0,Neutral,Slightly prefer in person courses,Hybrid,No,Southern California,Neither of the above,3,0,Full Support,Maybe,1
Sophomore,Latin@ or Hispanic,No,No,No,No,5,Neutral,Highly prefer in person courses,Hybrid,No,Northern California outside Stockton,Neither of the above,4,0,Full Support,Maybe,0
Junior,Asian or Pacific Islander,No,Yes,Yes,No,3,Dissatisfied,Neutral,Asynchronous,No,Northern California outside Stockton,Biden,3.13,0,Full Support,Yes,2
Junior,Asian or Pacific Islander,No,Yes,Yes,No,0,Satisfied,Slightly prefer in person courses,Hybrid,No,Northern California outside Stockton,Biden,3.02,0,Partial Support,Maybe,1
Junior,Asian or Pacific Islander,No,Yes,Yes,No,1,Dissatisfied,Slightly prefer online courses,Hybrid,No,Northern California outside Stockton,Biden,3.4,0,Full Support,Yes,3
Junior,Asian or Pacific Islander,No,No,No,No,1,Satisfied,Slightly prefer in person courses,Hybrid,No,Southern California,Neither of the above,3.8,0,Full Support,Maybe,1
Junior,Asian or Pacific Islander,No,No,No,No,0,Satisfied,Highly prefer in person courses,Hybrid,No,Off Campus in Stockton,Neither of the above,3.39,0,Full Support,Maybe,0
Senior,Asian or Pacific Islander,No,No,No,No,2,Neutral,Slightly prefer in person courses,Hybrid,No,Off Campus in Stockton,Neither of the above,3.5,0,Partial Support,No,1
Senior,White,No,Yes,No,No,2,Neutral,Highly prefer in person courses,Synchronous,No,United States outside California,Neither of the above,3.27,0,Partial Support,Maybe,0
Junior,Asian or Pacific Islander,No,Yes,No,No,2,Neutral,Slightly prefer in person courses,Asynchronous,No,Off Campus in Stockton,Neither of the above,3.9,0,Partial Support,No,1
Junior,Asian or Pacific Islander,No,Yes,Yes,No,0,Neutral,Neutral,Asynchronous,Yes,Off Campus in Stockton,Biden,3.05,1,Partial Support,Maybe,2
Sophomore,Asian or Pacific Islander,No,No,No,No,0,Satisfied,Neutral,Asynchronous,No,Northern California outside Stockton,Biden,3.83,0,Full Support,Yes,2
Sophomore,Asian or Pacific Islander,No,No,No,No,0,Satisfied,Highly prefer in person courses,Hybrid,No,Off Campus in Stockton,Trump,3.6,0,Partial Support,Yes,0
Senior,White,No,Yes,Yes,No,0,Neutral,Highly prefer in person courses,Hybrid,No,Northern California outside Stockton,Biden,4,0,Full Support,Maybe,0
Junior,Asian or Pacific Islander,No,No,No,No,12,Neutral,Highly prefer in person courses,Hybrid,No,Northern California outside Stockton,Neither of the above,3.4,0,Full Support,Maybe,0
Junior,Asian or Pacific Islander,No,No,Yes,No,0,Neutral,Highly prefer in person courses,Synchronous,Yes,Northern California outside Stockton,Biden,3.75,0,Partial Support,No,0
Junior,Latin@ or Hispanic,Yes,No,No,No,1,Neutral,Highly prefer in person courses,Synchronous,No,Northern California outside Stockton,Biden,2.65,5,Full Support,Maybe,0
Junior,Asian or Pacific Islander,No,Yes,Yes,No,0,Dissatisfied,Slightly prefer online courses,Hybrid,No,Off Campus in Stockton,Biden,2.7,0,Full Support,Yes,3
Senior,Asian or Pacific Islander,No,Yes,No,No,5,Dissatisfied,Slightly prefer online courses,Hybrid,No,Northern California outside Stockton,Biden,3.7,1,Full Support,Yes,3
Sophomore,Asian or Pacific Islander,No,Yes,No,No,0,Neutral,Slightly prefer in person courses,Hybrid,No,Southern California,Biden,3.5,0,Full Support,Maybe,1
Senior,Asian or Pacific Islander,No,Yes,Yes,No,0,Satisfied,Slightly prefer in person courses,Hybrid,No,Off Campus in Stockton,Biden,2.91,2,Full Support,Yes,1
Junior,Asian or Pacific Islander,No,No,No,No,1,Neutral,Highly prefer in person courses,Hybrid,No,Off Campus in Stockton,Neither of the above,3.338,3,Partial Support,No,0
Senior,Black or African American;White,No,No,No,No,0,Neutral,Slightly prefer in person courses,Hybrid,No,Off Campus in Stockton,Neither of the above,2.9,0,Partial Support,No,1
Senior,Asian or Pacific Islander,No,Yes,No,No,0,Neutral,Slightly prefer online courses,Asynchronous,No,Northern California outside Stockton,Biden,3.1,0,Full Support,Yes,3
Junior,Asian or Pacific Islander,No,Yes,Yes,No,0,Neutral,Slightly prefer in person courses,Hybrid,No,Northern California outside Stockton,Biden,3.3,0,Partial Support,Yes,1
Junior,Asian or Pacific Islander,No,No,No,No,1,Neutral,Slightly prefer in person courses,Asynchronous,No,Southern California,Neither of the above,2.8,0,Partial Support,No,1
Junior,Asian or Pacific Islander,No,Yes,Yes,No,0,Neutral,Highly prefer in person courses,Hybrid,No,Off Campus in Stockton,Biden,3.75,0,Full Support,Yes,0
Junior,Asian or Pacific Islander,No,No,No,No,0,Neutral,Neutral,Hybrid,No,Southern California,Biden,3.75,0,Full Support,Maybe,2
Sophomore,Latin@ or Hispanic;Asian or Pacific Islander,No,No,No,No,0,Neutral,Slightly prefer in person courses,Hybrid,No,Northern California outside Stockton,Neither of the above,3.8,0,Partial Support,No,1
Junior,White,No,No,No,No,3,Neutral,Slightly prefer in person courses,Asynchronous,No,Northern California outside Stockton,Neither of the above,3.96,0,Partial Support,No,1
Junior,Asian or Pacific Islander;White,No,No,No,No,0,Dissatisfied,Highly prefer in person courses,Hybrid,No,Off Campus in Stockton,Biden,4,5,Full Support,Maybe,0
Junior,Latin@ or Hispanic,No,Yes,No,No,3,Dissatisfied,Highly prefer in person courses,Asynchronous,No,Off Campus in Stockton,Neither of the above,2.7,0,Partial Support,No,0
Sophomore,Asian or Pacific Islander,No,No,No,No,0,Dissatisfied,Slightly prefer in person courses,Hybrid,Yes,Off Campus in Stockton,Biden,3.53,5,Partial Support,Yes,1
Junior,Asian or Pacific Islander,No,Yes,Yes,No,6,Dissatisfied,Neutral,Hybrid,No,Northern California outside Stockton,Biden,2.8,0,Full Support,Yes,2
Senior,White,No,No,Yes,No,0,Neutral,Highly prefer in person courses,Hybrid,Yes,Northern California outside Stockton,Trump,3.1,2,Partial Support,No,0
Senior,White,Yes,No,No,No,5,Neutral,Highly prefer in person courses,Asynchronous,No,United States outside California,Biden,4,0,Full Support,Yes,0
Freshman,White,No,No,No,No,0,Satisfied,Highly prefer in person courses,Synchronous,No,Southern California,Biden,4,0,Full Support,No,0
Senior,Black or African American,No,No,No,No,2,Dissatisfied,Slightly prefer in person courses,Synchronous,No,Northern California outside Stockton,Biden,2.7,0,Full Support,Yes,1
Senior,Asian or Pacific Islander,No,No,Yes,No,0,Dissatisfied,Slightly prefer in person courses,Asynchronous,No,Internationally,Biden,3.4,0,Full Support,Yes,1
Senior,White,No,Yes,No,No,20,Neutral,Neutral,Synchronous,No,Northern California outside Stockton,Biden,3.2,0,Full Support,Maybe,2
Freshman,Asian or Pacific Islander,No,No,No,No,0,Neutral,Highly prefer in person courses,Synchronous,No,Off Campus in Stockton,Neither of the above,4,0,Partial Support,No,0
Senior,Asian or Pacific Islander,No,Yes,No,No,0,Neutral,Highly prefer in person courses,Synchronous,No,Northern California outside Stockton,Biden,3,0,Partial Support,Maybe,0
Sophomore,Latin@ or Hispanic,No,No,No,No,2,Neutral,Highly prefer in person courses,Synchronous,No,Off Campus in Stockton,Biden,3.15,0,Full Support,Maybe,0
Junior,Asian or Pacific Islander,No,Yes,No,No,3,Dissatisfied,Slightly prefer online courses,Asynchronous,No,Southern California,Biden,3.54,0,Partial Support,Maybe,3
Junior,Asian or Pacific Islander,Yes,No,No,No,3,Neutral,Neutral,Hybrid,No,Northern California outside Stockton,Biden,2.98,1,Partial Support,Maybe,2
Senior,White,No,No,No,No,5,Neutral,Highly prefer in person courses,Hybrid,No,Northern California outside Stockton,Biden,3,0,Full Support,Yes,0
Sophomore,Asian or Pacific Islander,Yes,No,No,No,0,Satisfied,Slightly prefer in person courses,Asynchronous,No,Internationally,Neither of the above,3.13,0,Full Support,Maybe,1
Junior,Asian or Pacific Islander,Yes,No,No,Yes,0,Neutral,Neutral,Asynchronous,No,Internationally,Biden,3,0,Full Support,Yes,2
Junior,Asian or Pacific Islander,No,No,No,No,0,Neutral,Slightly prefer in person courses,Synchronous,Yes,Northern California outside Stockton,Biden,3.3,0,Full Support,No,1
Sophomore,Asian or Pacific Islander,Yes,No,No,No,0,Satisfied,Slightly prefer online courses,Hybrid,No,Off Campus in Stockton,Biden,3.14,0,Full Support,Maybe,3
Junior,Latin@ or Hispanic,Yes,No,Yes,No,4,Neutral,Slightly prefer in person courses,Hybrid,No,Southern California,Biden,3.01,6,Partial Support,Maybe,1
Sophomore,Asian or Pacific Islander,No,No,No,No,2.00E+07,Satisfied,Neutral,Hybrid,No,Internationally,Neither of the above,3.78,0,Full Support,Maybe,2
Junior,Asian or Pacific Islander,No,Yes,Yes,No,4,Neutral,Highly prefer in person courses,Hybrid,No,Southern California,Biden,2.8,1,Full Support,Maybe,0
Sophomore,Asian or Pacific Islander,No,No,No,No,10000,Dissatisfied,Neutral,Asynchronous,No,Internationally,Neither of the above,3.3,120,No Support,Maybe,2
Junior,White,Yes,No,No,No,2,Neutral,Slightly prefer in person courses,Synchronous,No,Off Campus in Stockton,Neither of the above,3,0,Partial Support,No,1
Sophomore,Asian or Pacific Islander,Yes,No,No,No,0,Satisfied,Highly prefer online courses,Asynchronous,No,On Campus,Neither of the above,3.8,0,Partial Support,Maybe,4
Senior,Latin@ or Hispanic,Yes,No,Yes,No,2,Neutral,Slightly prefer in person courses,Asynchronous,Yes,Southern California,Biden,3,8,Full Support,Yes,1
Sophomore,White,No,No,Yes,No,0,Neutral,Highly prefer in person courses,Asynchronous,Yes,United States outside California,Biden,3.931,7,Partial Support,Maybe,0
Junior,Asian or Pacific Islander,No,No,No,No,0,Neutral,Highly prefer in person courses,Hybrid,No,Northern California outside Stockton,Biden,3.55,2,Full Support,Maybe,0
Junior,Asian or Pacific Islander,No,No,No,Yes,1,Neutral,Slightly prefer in person courses,Synchronous,No,Northern California outside Stockton,Trump,2.83,1.5,Partial Support,Maybe,1
Sophomore,Asian or Pacific Islander,No,No,No,No,4,Neutral,Neutral,Hybrid,No,Off Campus in Stockton,Neither of the above,3.71,0,Partial Support,Maybe,2
Junior,Asian or Pacific Islander,No,No,No,No,3,Neutral,Highly prefer in person courses,Synchronous,Yes,Northern California outside Stockton,Neither of the above,4,6,Full Support,No,0
Sophomore,Asian or Pacific Islander,No,No,No,No,0,Dissatisfied,Slightly prefer in person courses,Synchronous,No,Northern California outside Stockton,Neither of the above,3.5,0,Full Support,No,1
Sophomore,Asian or Pacific Islander,Yes,No,No,No,0,Neutral,Neutral,Asynchronous,No,Internationally,Neither of the above,3.3,0,Full Support,Maybe,2
Sophomore,Asian,Yes,No,No,No,0,Neutral,Neutral,Hybrid,No,Internationally,Neither of the above,3,0,Partial Support,Maybe,2
Sophomore,Asian or Pacific Islander,Yes,No,No,No,0,Neutral,Neutral,Hybrid,No,Internationally,Neither of the above,3.2,0,Partial Support,Maybe,2
Senior,White,No,No,No,No,0,Neutral,Highly prefer in person courses,Hybrid,Yes,Northern California outside Stockton,Neither of the above,3.4,0,Partial Support,Maybe,0
Graduate Student,Asian or Pacific Islander,No,Yes,Yes,No,0,Neutral,Slightly prefer in person courses,Synchronous,Yes,Off Campus in Stockton,Neither of the above,3.6,0,Full Support,Yes,1
Senior,Latin@ or Hispanic,No,Yes,Yes,No,2,Dissatisfied,Highly prefer in person courses,Hybrid,No,Northern California outside Stockton,Neither of the above,3.6,0,Partial Support,Maybe,0
Sophomore,Asian or Pacific Islander,Yes,No,No,No,0,Neutral,Slightly prefer in person courses,Asynchronous,No,Northern California outside Stockton,Biden,3,0,Full Support,Yes,1
Sophomore,Asian or Pacific Islander,No,No,No,No,0,Satisfied,Slightly prefer in person courses,Hybrid,Yes,Southern California,Trump,3.3,0,Partial Support,Maybe,1
Senior,Latin@ or Hispanic;White,No,Yes,Yes,No,4,Neutral,Slightly prefer in person courses,Hybrid,No,Southern California,Biden,2.61,3,Full Support,Maybe,1
Freshman,White,No,No,No,No,4,Neutral,Highly prefer in person courses,Synchronous,No,Northern California outside Stockton,Biden,4,0,Full Support,Yes,0
Sophomore,Asian or Pacific Islander,No,No,No,No,0,Satisfied,Slightly prefer online courses,Hybrid,No,Northern California outside Stockton,Biden,3.29,0,Partial Support,Maybe,3
Junior,Asian or Pacific Islander,No,Yes,No,No,0,Dissatisfied,Slightly prefer in person courses,Hybrid,No,Northern California outside Stockton,Trump,3.3,0,Partial Support,No,1
Junior,Asian or Pacific Islander,No,Yes,No,No,0,Dissatisfied,Highly prefer in person courses,Hybrid,No,Off Campus in Stockton,Neither of the above,3.2,0,Partial Support,No,0
Sophomore,Asian or Pacific Islander,No,Yes,No,No,0,Satisfied,Highly prefer in person courses,Hybrid,No,Northern California outside Stockton,Biden,4,0,Full Support,Yes,0
Junior,Asian or Pacific Islander,No,Yes,No,No,0,Satisfied,Highly prefer in person courses,Hybrid,No,Northern California outside Stockton,Biden,3.3,0,Full Support,Maybe,0
Junior,White,No,No,No,No,1,Satisfied,Highly prefer in person courses,Hybrid,No,Internationally,Biden,4,0,Full Support,No,0
Senior,Latin@ or Hispanic,No,No,No,Yes,17,Satisfied,Slightly prefer online courses,Synchronous,No,Off Campus in Stockton,Biden,2.7,1,Full Support,Maybe,3
Senior,Latin@ or Hispanic,No,No,No,Yes,30,Neutral,Slightly prefer online courses,Asynchronous,No,Off Campus in Stockton,Biden,2.94,0,Full Support,Yes,3
Junior,Asian or Pacific Islander,Yes,No,Yes,No,0,Satisfied,Highly prefer in person courses,Hybrid,No,Off Campus in Stockton,Biden,3.1,0,Full Support,Maybe,0
Sophomore,Asian or Pacific Islander,Yes,No,No,No,0,Neutral,Highly prefer in person courses,Synchronous,No,Northern California outside Stockton,Trump,3.5,0,No Support,No,0
Junior,White,No,Yes,No,No,4,Neutral,Slightly prefer in person courses,Asynchronous,No,Northern California outside Stockton,Biden,3.8,0,Full Support,Maybe,1
Senior,Asian or Pacific Islander,No,No,No,No,0,Satisfied,Highly prefer in person courses,Asynchronous,No,Internationally,Neither of the above,0,0,Partial Support,Maybe,0
Junior,Asian or Pacific Islander,No,No,Yes,No,0,Neutral,Slightly prefer online courses,Asynchronous,No,Northern California outside Stockton,Trump,4,0,Partial Support,No,3
Graduate Student,White,No,No,No,No,0,Satisfied,Highly prefer in person courses,Synchronous,No,Off Campus in Stockton,Biden,4,4,Partial Support,Maybe,0
Graduate Student,Latin@ or Hispanic;White,Yes,No,No,Yes,8,Neutral,Neutral,Hybrid,No,Off Campus in Stockton,Neither of the above,3.8,12,Full Support,Maybe,2
Junior,Asian or Pacific Islander,No,Yes,Yes,No,0,Satisfied,Neutral,Synchronous,No,Off Campus in Stockton,Biden,3.16,0,Full Support,Yes,2
Senior,Asian or Pacific Islander,No,Yes,Yes,No,1,Neutral,Highly prefer in person courses,Hybrid,No,Off Campus in Stockton,Trump,3.5,0,Partial Support,No,0
